concurrency,run,tag,strategy,correct,wrong_rpc,unattributed,precision,recall,f1,wrong_rate,unattributed_rate
4,2,c004-r002,time_window_50ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,2,c004-r002,time_window_100ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,2,c004-r002,time_window_500ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,2,c004-r002,time_window_1000ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,2,c004-r002,pid,4,12,0,0.2500,0.2500,0.2500,0.7500,0.0000
4,3,c004-r003,time_window_1ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,3,c004-r003,time_window_5ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,3,c004-r003,time_window_10ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,3,c004-r003,time_window_50ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,3,c004-r003,time_window_100ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,3,c004-r003,time_window_500ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,3,c004-r003,time_window_1000ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,3,c004-r003,pid,4,12,0,0.2500,0.2500,0.2500,0.7500,0.0000
4,3,c004-r003,pid_tid,1,4,11,0.2000,0.0625,0.0952,0.2500,0.6875
4,4,c004-r004,time_window_1ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,4,c004-r004,time_window_5ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,4,c004-r004,time_window_10ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,4,c004-r004,time_window_50ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,4,c004-r004,time_window_100ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,4,c004-r004,time_window_500ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,4,c004-r004,time_window_1000ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,4,c004-r004,pid,4,12,0,0.2500,0.2500,0.2500,0.7500,0.0000
4,4,c004-r004,pid_tid,1,4,11,0.2000,0.0625,0.0952,0.2500,0.6875
4,5,c004-r005,pid_tid,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,5,c004-r005,time_window_1ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,5,c004-r005,time_window_5ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,5,c004-r005,time_window_10ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,5,c004-r005,time_window_50ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,5,c004-r005,time_window_100ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,5,c004-r005,time_window_500ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,5,c004-r005,time_window_1000ms,3,2,11,0.6000,0.1875,0.2857,0.1250,0.6875
4,5,c004-r005,pid,4,12,0,0.2500,0.2500,0.2500,0.7500,0.0000
8,1,c008-r001,time_window_1ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,1,c008-r001,time_window_5ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,1,c008-r001,time_window_10ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,1,c008-r001,time_window_50ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,1,c008-r001,time_window_100ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,1,c008-r001,time_window_500ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,1,c008-r001,time_window_1000ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,1,c008-r001,pid,4,28,0,0.1250,0.1250,0.1250,0.8750,0.0000
8,1,c008-r001,pid_tid,1,10,21,0.0909,0.0312,0.0465,0.3125,0.6562
8,2,c008-r002,pid,4,28,0,0.1250,0.1250,0.1250,0.8750,0.0000
8,2,c008-r002,pid_tid,1,10,21,0.0909,0.0312,0.0465,0.3125,0.6562
8,2,c008-r002,time_window_1ms,1,10,21,0.0909,0.0312,0.0465,0.3125,0.6562
8,2,c008-r002,time_window_5ms,1,10,21,0.0909,0.0312,0.0465,0.3125,0.6562
8,2,c008-r002,time_window_10ms,1,10,21,0.0909,0.0312,0.0465,0.3125,0.6562
8,2,c008-r002,time_window_50ms,1,10,21,0.0909,0.0312,0.0465,0.3125,0.6562
8,2,c008-r002,time_window_100ms,1,10,21,0.0909,0.0312,0.0465,0.3125,0.6562
8,2,c008-r002,time_window_500ms,1,10,21,0.0909,0.0312,0.0465,0.3125,0.6562
8,2,c008-r002,time_window_1000ms,1,10,21,0.0909,0.0312,0.0465,0.3125,0.6562
8,3,c008-r003,pid,4,28,0,0.1250,0.1250,0.1250,0.8750,0.0000
8,3,c008-r003,pid_tid,2,9,21,0.1818,0.0625,0.0930,0.2812,0.6562
8,3,c008-r003,time_window_1ms,2,9,21,0.1818,0.0625,0.0930,0.2812,0.6562
8,3,c008-r003,time_window_5ms,2,9,21,0.1818,0.0625,0.0930,0.2812,0.6562
8,3,c008-r003,time_window_10ms,2,9,21,0.1818,0.0625,0.0930,0.2812,0.6562
8,3,c008-r003,time_window_50ms,2,9,21,0.1818,0.0625,0.0930,0.2812,0.6562
8,3,c008-r003,time_window_100ms,2,9,21,0.1818,0.0625,0.0930,0.2812,0.6562
8,3,c008-r003,time_window_500ms,2,9,21,0.1818,0.0625,0.0930,0.2812,0.6562
8,3,c008-r003,time_window_1000ms,2,9,21,0.1818,0.0625,0.0930,0.2812,0.6562
8,4,c008-r004,time_window_1ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,4,c008-r004,time_window_5ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,4,c008-r004,time_window_10ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,4,c008-r004,time_window_50ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,4,c008-r004,time_window_100ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,4,c008-r004,time_window_500ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,4,c008-r004,time_window_1000ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,4,c008-r004,pid,4,28,0,0.1250,0.1250,0.1250,0.8750,0.0000
8,4,c008-r004,pid_tid,2,9,21,0.1818,0.0625,0.0930,0.2812,0.6562
8,5,c008-r005,time_window_1ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,5,c008-r005,time_window_5ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,5,c008-r005,time_window_10ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,5,c008-r005,time_window_50ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,5,c008-r005,time_window_100ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,5,c008-r005,time_window_500ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,5,c008-r005,time_window_1000ms,4,7,21,0.3636,0.1250,0.1860,0.2188,0.6562
8,5,c008-r005,pid,4,28,0,0.1250,0.1250,0.1250,0.8750,0.0000
8,5,c008-r005,pid_tid,2,9,21,0.1818,0.0625,0.0930,0.2812,0.6562
16,1,c016-r001,pid,4,60,0,0.0625,0.0625,0.0625,0.9375,0.0000
16,1,c016-r001,time_window_1ms,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,1,c016-r001,time_window_5ms,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,1,c016-r001,time_window_10ms,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,1,c016-r001,time_window_50ms,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,1,c016-r001,time_window_100ms,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,1,c016-r001,time_window_500ms,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,1,c016-r001,time_window_1000ms,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,1,c016-r001,pid_tid,1,15,48,0.0625,0.0156,0.0250,0.2344,0.7500
16,2,c016-r002,time_window_1ms,3,13,48,0.1875,0.0469,0.0750,0.2031,0.7500
16,2,c016-r002,time_window_5ms,3,13,48,0.1875,0.0469,0.0750,0.2031,0.7500
16,2,c016-r002,time_window_10ms,3,13,48,0.1875,0.0469,0.0750,0.2031,0.7500
16,2,c016-r002,time_window_50ms,3,13,48,0.1875,0.0469,0.0750,0.2031,0.7500
16,2,c016-r002,time_window_100ms,3,13,48,0.1875,0.0469,0.0750,0.2031,0.7500
16,2,c016-r002,time_window_500ms,3,13,48,0.1875,0.0469,0.0750,0.2031,0.7500
16,2,c016-r002,time_window_1000ms,3,13,48,0.1875,0.0469,0.0750,0.2031,0.7500
16,2,c016-r002,pid,4,60,0,0.0625,0.0625,0.0625,0.9375,0.0000
16,2,c016-r002,pid_tid,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,3,c016-r003,time_window_1ms,3,13,48,0.1875,0.0469,0.0750,0.2031,0.7500
16,3,c016-r003,time_window_5ms,3,13,48,0.1875,0.0469,0.0750,0.2031,0.7500
16,3,c016-r003,time_window_10ms,3,13,48,0.1875,0.0469,0.0750,0.2031,0.7500
16,3,c016-r003,time_window_50ms,3,13,48,0.1875,0.0469,0.0750,0.2031,0.7500
16,3,c016-r003,time_window_100ms,3,13,48,0.1875,0.0469,0.0750,0.2031,0.7500
16,3,c016-r003,time_window_500ms,3,13,48,0.1875,0.0469,0.0750,0.2031,0.7500
16,3,c016-r003,time_window_1000ms,3,13,48,0.1875,0.0469,0.0750,0.2031,0.7500
16,3,c016-r003,pid,4,60,0,0.0625,0.0625,0.0625,0.9375,0.0000
16,3,c016-r003,pid_tid,1,15,48,0.0625,0.0156,0.0250,0.2344,0.7500
16,4,c016-r004,pid,4,60,0,0.0625,0.0625,0.0625,0.9375,0.0000
16,4,c016-r004,pid_tid,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,4,c016-r004,time_window_1ms,1,15,48,0.0625,0.0156,0.0250,0.2344,0.7500
16,4,c016-r004,time_window_5ms,1,15,48,0.0625,0.0156,0.0250,0.2344,0.7500
16,4,c016-r004,time_window_10ms,1,15,48,0.0625,0.0156,0.0250,0.2344,0.7500
16,4,c016-r004,time_window_50ms,1,15,48,0.0625,0.0156,0.0250,0.2344,0.7500
16,4,c016-r004,time_window_100ms,1,15,48,0.0625,0.0156,0.0250,0.2344,0.7500
16,4,c016-r004,time_window_500ms,1,15,48,0.0625,0.0156,0.0250,0.2344,0.7500
16,4,c016-r004,time_window_1000ms,1,15,48,0.0625,0.0156,0.0250,0.2344,0.7500
16,5,c016-r005,pid,4,60,0,0.0625,0.0625,0.0625,0.9375,0.0000
16,5,c016-r005,pid_tid,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,5,c016-r005,time_window_1ms,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,5,c016-r005,time_window_5ms,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,5,c016-r005,time_window_10ms,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,5,c016-r005,time_window_50ms,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,5,c016-r005,time_window_100ms,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,5,c016-r005,time_window_500ms,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
16,5,c016-r005,time_window_1000ms,2,14,48,0.1250,0.0312,0.0500,0.2188,0.7500
32,1,c032-r001,pid,4,124,0,0.0312,0.0312,0.0312,0.9688,0.0000
32,1,c032-r001,pid_tid,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,1,c032-r001,time_window_1ms,1,42,85,0.0233,0.0078,0.0117,0.3281,0.6641
32,1,c032-r001,time_window_5ms,1,42,85,0.0233,0.0078,0.0117,0.3281,0.6641
32,1,c032-r001,time_window_10ms,1,42,85,0.0233,0.0078,0.0117,0.3281,0.6641
32,1,c032-r001,time_window_50ms,1,42,85,0.0233,0.0078,0.0117,0.3281,0.6641
32,1,c032-r001,time_window_100ms,1,42,85,0.0233,0.0078,0.0117,0.3281,0.6641
32,1,c032-r001,time_window_500ms,1,42,85,0.0233,0.0078,0.0117,0.3281,0.6641
32,1,c032-r001,time_window_1000ms,1,42,85,0.0233,0.0078,0.0117,0.3281,0.6641
32,2,c032-r002,pid_tid,3,40,85,0.0698,0.0234,0.0351,0.3125,0.6641
32,2,c032-r002,pid,4,124,0,0.0312,0.0312,0.0312,0.9688,0.0000
32,2,c032-r002,time_window_1ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,2,c032-r002,time_window_5ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,2,c032-r002,time_window_10ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,2,c032-r002,time_window_50ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,2,c032-r002,time_window_100ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,2,c032-r002,time_window_500ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,2,c032-r002,time_window_1000ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,3,c032-r003,pid_tid,3,40,85,0.0698,0.0234,0.0351,0.3125,0.6641
32,3,c032-r003,time_window_1ms,3,40,85,0.0698,0.0234,0.0351,0.3125,0.6641
32,3,c032-r003,time_window_5ms,3,40,85,0.0698,0.0234,0.0351,0.3125,0.6641
32,3,c032-r003,time_window_10ms,3,40,85,0.0698,0.0234,0.0351,0.3125,0.6641
32,3,c032-r003,time_window_50ms,3,40,85,0.0698,0.0234,0.0351,0.3125,0.6641
32,3,c032-r003,time_window_100ms,3,40,85,0.0698,0.0234,0.0351,0.3125,0.6641
32,3,c032-r003,time_window_500ms,3,40,85,0.0698,0.0234,0.0351,0.3125,0.6641
32,3,c032-r003,time_window_1000ms,3,40,85,0.0698,0.0234,0.0351,0.3125,0.6641
32,3,c032-r003,pid,4,124,0,0.0312,0.0312,0.0312,0.9688,0.0000
32,4,c032-r004,pid,4,124,0,0.0312,0.0312,0.0312,0.9688,0.0000
32,4,c032-r004,time_window_1ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,4,c032-r004,time_window_5ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,4,c032-r004,time_window_10ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,4,c032-r004,time_window_50ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,4,c032-r004,time_window_100ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,4,c032-r004,time_window_500ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,4,c032-r004,time_window_1000ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,4,c032-r004,pid_tid,0,43,85,0.0000,0.0000,0.0000,0.3359,0.6641
32,5,c032-r005,pid_tid,3,40,85,0.0698,0.0234,0.0351,0.3125,0.6641
32,5,c032-r005,pid,4,124,0,0.0312,0.0312,0.0312,0.9688,0.0000
32,5,c032-r005,time_window_1ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,5,c032-r005,time_window_5ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,5,c032-r005,time_window_10ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,5,c032-r005,time_window_50ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,5,c032-r005,time_window_100ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,5,c032-r005,time_window_500ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
32,5,c032-r005,time_window_1000ms,2,41,85,0.0465,0.0156,0.0234,0.3203,0.6641
64,1,c064-r001,pid_tid,4,88,164,0.0435,0.0156,0.0230,0.3438,0.6406
64,1,c064-r001,pid,4,252,0,0.0156,0.0156,0.0156,0.9844,0.0000
64,1,c064-r001,time_window_1ms,2,90,164,0.0217,0.0078,0.0115,0.3516,0.6406
64,1,c064-r001,time_window_5ms,2,90,164,0.0217,0.0078,0.0115,0.3516,0.6406
64,1,c064-r001,time_window_10ms,2,90,164,0.0217,0.0078,0.0115,0.3516,0.6406
64,1,c064-r001,time_window_50ms,2,90,164,0.0217,0.0078,0.0115,0.3516,0.6406
64,1,c064-r001,time_window_100ms,2,90,164,0.0217,0.0078,0.0115,0.3516,0.6406
64,1,c064-r001,time_window_500ms,2,90,164,0.0217,0.0078,0.0115,0.3516,0.6406
64,1,c064-r001,time_window_1000ms,2,90,164,0.0217,0.0078,0.0115,0.3516,0.6406
64,2,c064-r002,pid_tid,3,89,164,0.0326,0.0117,0.0172,0.3477,0.6406
64,2,c064-r002,pid,4,252,0,0.0156,0.0156,0.0156,0.9844,0.0000
64,2,c064-r002,time_window_1ms,2,90,164,0.0217,0.0078,0.0115,0.3516,0.6406
64,2,c064-r002,time_window_5ms,2,90,164,0.0217,0.0078,0.0115,0.3516,0.6406
64,2,c064-r002,time_window_10ms,2,90,164,0.0217,0.0078,0.0115,0.3516,0.6406
64,2,c064-r002,time_window_50ms,2,90,164,0.0217,0.0078,0.0115,0.3516,0.6406
64,2,c064-r002,time_window_100ms,2,90,164,0.0217,0.0078,0.0115,0.3516,0.6406
